closure-begin,closure-end,location,impact,closed-thru,is-new
7,16,N Mill St between Church St and W Second St ,Northbound lane blocked for construction.,1-Jul,
7,16,W Fifth St between N Limestone and N Martin Luther King Blvd,Street closed to thru traffic.  Detours in place.,24-Jun,
9,13,W Fifth St between N Limestone and N Martin Luther King Blvd,Street closed to thru traffic.  Detours in place.,24-Jun,
